datetime,tempmax,tempmin,temp,precip
"Thursday, September 8, 2016",32.7,27,29.2,0.63
"Friday, September 9, 2016",33.1,27,30,0
"Saturday, September 10, 2016",32.3,27.8,29.6,11.83
"Sunday, September 11, 2016",32,27,28.8,1.05
"Monday, September 12, 2016",31.8,26,27.9,14.95
"Tuesday, September 13, 2016",27.7,25.9,26.4,23.43
"Wednesday, September 14, 2016",32,26,28.4,2.51
"Thursday, September 15, 2016",33.1,27,29.5,0.19
"Friday, September 16, 2016",34,27,29.7,0
"Saturday, September 17, 2016",34.1,27.6,29.7,14.7
"Sunday, September 18, 2016",32.3,27.4,29.1,3.2
"Monday, September 19, 2016",28.6,27,27.5,5.94
"Tuesday, September 20, 2016",29.1,26,27.2,2.1
"Wednesday, September 21, 2016",31,26.6,28.4,3.85
"Thursday, September 22, 2016",33,26.8,28.5,1.29
"Friday, September 23, 2016",34,26.3,29.2,2.83
"Saturday, September 24, 2016",32,27,28.1,32.73
"Sunday, September 25, 2016",32.2,26.8,28.7,1.76
"Monday, September 26, 2016",31,26,27.9,24.69
"Tuesday, September 27, 2016",33.1,26.4,29.8,0
"Wednesday, September 28, 2016",30,27,28.3,5.15
"Thursday, September 29, 2016",33.9,26.9,29.8,0.19
"Friday, September 30, 2016",34,26.4,30.3,1.72
"Saturday, October 1, 2016",32.5,26,29.2,0.32
"Sunday, October 2, 2016",32,27.3,29.5,0.51
"Monday, October 3, 2016",33.1,27,29.7,0
"Tuesday, October 4, 2016",35,27.7,30.9,2.37
"Wednesday, October 5, 2016",31.1,26.9,28.9,1.45
"Thursday, October 6, 2016",30.1,27,28.6,3.87
"Friday, October 7, 2016",31,27,28.6,4.24
"Saturday, October 8, 2016",31,26.8,28.6,6.68
"Sunday, October 9, 2016",31,26.6,28.3,3.95
"Monday, October 10, 2016",32.4,26.9,28.7,1.39
"Tuesday, October 11, 2016",29,25,26.9,8.04
"Wednesday, October 12, 2016",31,24,27.1,1.92
"Thursday, October 13, 2016",32.2,25.4,28.3,4.55
"Friday, October 14, 2016",31.4,25.4,28.3,2.55
"Saturday, October 15, 2016",32.6,24.9,28.8,0
"Sunday, October 16, 2016",33.2,25,29.3,0
"Monday, October 17, 2016",34,25.7,29.6,0
"Tuesday, October 18, 2016",34.1,26,29.7,0
"Wednesday, October 19, 2016",35,26.7,30.4,0
"Thursday, October 20, 2016",34.8,25.7,29.7,0
"Friday, October 21, 2016",33.1,25.8,29.2,0
"Saturday, October 22, 2016",32.1,25.8,28.7,0
"Sunday, October 23, 2016",32.4,25.4,28.8,0
"Monday, October 24, 2016",32,24.2,28.5,0
"Tuesday, October 25, 2016",34,24.1,28.9,0
"Wednesday, October 26, 2016",31.2,24.8,28.2,0.01
"Thursday, October 27, 2016",29,24.6,26.4,30.87
"Friday, October 28, 2016",29,24,26.3,27.49
"Saturday, October 29, 2016",30.1,25,27.5,16.75
"Sunday, October 30, 2016",32,24.4,27.7,1.13
"Monday, October 31, 2016",32,25.2,28.3,0
"Tuesday, November 1, 2016",33,26,29,0
"Wednesday, November 2, 2016",33.4,26.1,29.4,0
"Thursday, November 3, 2016",33.1,26.4,29.1,0.38
"Friday, November 4, 2016",28.2,24,25.9,2.18
"Saturday, November 5, 2016",25,22.9,24,23.24
"Sunday, November 6, 2016",26,20,23,16.4
"Monday, November 7, 2016",28,22,24.3,0.89
"Tuesday, November 8, 2016",29,21.4,25.2,0
"Wednesday, November 9, 2016",30,21.8,25.7,0
"Thursday, November 10, 2016",29.7,21.1,25.4,0
"Friday, November 11, 2016",29,20.2,25,0
"Saturday, November 12, 2016",29,20.4,25.2,0
"Sunday, November 13, 2016",29,21.1,25.3,0
"Monday, November 14, 2016",30,21.8,25.6,0
"Tuesday, November 15, 2016",29,20,24.8,0
"Wednesday, November 16, 2016",30,20.3,25.2,0
"Thursday, November 17, 2016",29.1,20.6,24.9,0
"Friday, November 18, 2016",29.1,19.5,24.4,0
"Saturday, November 19, 2016",29,19.3,24.5,0
"Sunday, November 20, 2016",28.1,19.7,24,0
"Monday, November 21, 2016",28,19.5,23.8,0
"Tuesday, November 22, 2016",28.1,19.8,23.5,0
"Wednesday, November 23, 2016",28.1,19,23.3,0
"Thursday, November 24, 2016",28.1,19.8,23.8,0
"Friday, November 25, 2016",28,18.8,23.4,0
"Saturday, November 26, 2016",28,19.7,24,0
"Sunday, November 27, 2016",28,19.5,24.1,0
"Monday, November 28, 2016",28.1,19.2,24,0
"Tuesday, November 29, 2016",28,20,24,0
"Wednesday, November 30, 2016",28.1,20,24,0
"Thursday, December 1, 2016",28.3,20.4,24.2,0
"Friday, December 2, 2016",28.2,19.7,24.2,0
"Saturday, December 3, 2016",29.1,19.8,24.3,0
"Sunday, December 4, 2016",29.1,20.7,24.2,0
"Monday, December 5, 2016",28,18,22.8,0
"Tuesday, December 6, 2016",28,18,22.8,0
"Wednesday, December 7, 2016",29,17.7,23.2,0
"Thursday, December 8, 2016",29,16.9,23.4,0
"Friday, December 9, 2016",29,17.9,22.6,0
"Saturday, December 10, 2016",27,16.7,21.3,0
"Sunday, December 11, 2016",28,16,21.6,0
"Monday, December 12, 2016",28,16.9,21.5,0
"Tuesday, December 13, 2016",27,16,21.1,0
"Wednesday, December 14, 2016",25.9,15.9,20.2,0
"Thursday, December 15, 2016",26,16,20.1,0
"Friday, December 16, 2016",25.5,16.8,20.3,0
"Saturday, December 17, 2016",27,16.7,21.3,0
"Sunday, December 18, 2016",27,16.9,21.8,0
"Monday, December 19, 2016",27,17,21.7,0
"Tuesday, December 20, 2016",26,17,21.3,0
"Wednesday, December 21, 2016",26,17,21.3,0
"Thursday, December 22, 2016",27,16.9,21.2,0
"Friday, December 23, 2016",27,18,22.5,0
"Saturday, December 24, 2016",27.1,18.7,22.3,0
"Sunday, December 25, 2016",27.1,19.3,23,0
"Monday, December 26, 2016",27.1,19.8,23,0
"Tuesday, December 27, 2016",27,18,21.9,0
"Wednesday, December 28, 2016",24.9,16,20.5,0
"Thursday, December 29, 2016",26,16.6,20.7,0
"Friday, December 30, 2016",26.1,17.6,20.9,0
"Saturday, December 31, 2016",25,16,20.1,0
"Sunday, January 1, 2017",26,16,20.5,0
"Monday, January 2, 2017",27,16,20.9,0
"Tuesday, January 3, 2017",27,16.8,21.4,0
"Wednesday, January 4, 2017",26.1,16,20.8,0
"Thursday, January 5, 2017",24,15.8,19.6,0
"Friday, January 6, 2017",24,15.7,19.1,0
"Saturday, January 7, 2017",25,14,18.9,0
"Sunday, January 8, 2017",27,15.7,20.3,0
"Monday, January 9, 2017",26.4,15.8,20.5,0
"Tuesday, January 10, 2017",26,15.8,20.1,0
"Wednesday, January 11, 2017",25,14.8,19.7,0
"Thursday, January 12, 2017",26,15.8,19.9,0
"Friday, January 13, 2017",26,13.8,18.1,0
"Saturday, January 14, 2017",24,12,17.4,0
"Sunday, January 15, 2017",25,11.9,18.1,0
"Monday, January 16, 2017",24.1,14,18.7,0
"Tuesday, January 17, 2017",26,13,18.7,0
"Wednesday, January 18, 2017",26,13.8,19.5,0
"Thursday, January 19, 2017",27,13.9,19.9,0
"Friday, January 20, 2017",26,15,20.2,0
